id,sender,timestamp,text,image,document
12385,-1001666492664,2024-10-10 04:07:51,"SARDINE 
Price 800 birr each 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-51.jpg,
12384,-1001666492664,2024-10-10 04:07:51,"UNSALTED MIXED NUTS 
Price 3600 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-51 (1).jpg,
12383,-1001666492664,2024-10-10 04:07:51,"SALTED MIXED NUTS 
Price 3600 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-51 (2).jpg,
12382,-1001666492664,2024-10-10 04:07:51,"UNSALTED CASHEWS
Price 3600 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-51 (3).jpg,
12381,-1001666492664,2024-10-10 04:07:50,"QUAKER OATS 
Price 5000 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-50.jpg,
12380,-1001666492664,2024-10-10 04:07:50,"NIDO USA 2.2KG
Price 5900 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-50 (1).jpg,
12379,-1001666492664,2024-10-10 04:07:50,"Cheerios 
Price 2800
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-50 (2).jpg,
12378,-1001666492664,2024-10-10 04:07:50,"NIDO USA 2.2KG
Price 5900 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-50 (3).jpg,
12377,-1001666492664,2024-10-10 04:07:50,"HONEY BUNCHES 
Price 2800
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-50 (4).jpg,
12376,-1001666492664,2024-10-10 04:07:50,"Baby D Drops 
Price 3500 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",C:\Users\befekadum\Documents\10x acadamy\WEEK7\Ethiopian-medical-business-\data\images\photo_2024-10-10_04-07-50 (5).jpg,
